"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 23 20:40:33 GMT 2025","Fri May 23 20:40:35 GMT 2025","1962","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri May 23 20:40:42 GMT 2025","Fri May 23 20:40:44 GMT 2025","1677","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri May 23 20:40:23 GMT 2025","Fri May 23 20:40:25 GMT 2025","2501","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri May 23 20:40:37 GMT 2025","Fri May 23 20:40:41 GMT 2025","3497","LMS system","Courses","Courses","","","Create course",""
"passed","Fri May 23 20:40:23 GMT 2025","Fri May 23 20:40:25 GMT 2025","2459","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri May 23 20:40:29 GMT 2025","Fri May 23 20:40:31 GMT 2025","2005","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri May 23 20:40:26 GMT 2025","Fri May 23 20:40:30 GMT 2025","4445","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri May 23 20:40:36 GMT 2025","Fri May 23 20:40:40 GMT 2025","3834","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri May 23 20:40:31 GMT 2025","Fri May 23 20:40:33 GMT 2025","2293","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri May 23 20:40:26 GMT 2025","Fri May 23 20:40:28 GMT 2025","1993","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
